Market,DailyBars,DailyPeriod,WeeklyBars,WeeklyPeriod,MonthlyBars,MonthlyPeriod,HistoryType,DailyLiveDate,WeeklyLiveDate,MonthlyLiveDate
AAPL, 30, 13, 26, 13, 24, 15, YFH, 2023-01-03, 2023-01-02, 2023-01-01
AMZN, 30, 13, 26, 13, 20, 9,  YFH, 2023-01-03, 2023-01-02, 2023-01-01
MMM,  30, 13, 26, 13, 24, 15, YFH, , , 
X_BTCUSD,  60, 13, 26, 13, 18, 9,  YFH, 2023-01-03, 2023-01-02, 2023-01-01
ETH,  30, 13, 26, 13, 18, 9,  YFH, , , 
XLM,  20, 13, 20, 13, 10, 5,  YFH, , , 
GLD, 100, 13, 26, 13, 24, 15, YFH, , , 
DIA,  30, 13, 26, 13, 24, 15, YFH, , , 
MDY,  30, 13, 26, 13, 24, 15, YFH, 2023-01-03, 2023-01-02, 2023-01-01
QQQ,  30, 13, 26, 13, 24, 15, YFH, 2023-01-03, 2023-01-02, 2023-01-01
SPX,  30, 13, 26, 13, 24, 15, YFH, , , 
SPY,  30, 10, 26, 10, 24, 15, YFH, 2023-01-03, 2023-01-02, 2023-01-01